Name,Affiliation,Department
Sandra Aguilar,Stanford University,History
Cameron Parker,University of Michigan,Biology
Rebecca Valencia,MIT,Philosophy
Christine Wright,Stanford University,Physics
Richard Henson,University of Michigan,Sociology
Marc Moore,Princeton University,Sociology
Sharon Cherry,Stanford University,History
Sierra Johnson,Columbia University,Biology
Evelyn Galvan,MIT,History
Sharon Cochran,UC Berkeley,Psychology
Monica Herrera,Yale University,Physics
Jamie Arnold,University of Michigan,Philosophy
Lisa C. Hensley,University of Michigan,History
M. Williams,Stanford University,Mathematics
Dylan Miller,MIT,Computer Sciences
Brian B. Ramirez,MIT,Mathematics
Holly C. Wood,Columbia Univ.,Physics
Derek Z.,Cornell University,Physics
Lisa Jackson,University of Michigan,Psychology
Carla G.,Columbia Univ.,Sociology
M. D. DDS,MIT,Mathematics
PP Perez,Columbia Univ.,Psychology
Ethan Adams,Yale Univ.,Psychology
T. W. Walter,MIT,Sociology
Matthew C. Foster,Univ. of Chicago,Hist.
Judy C. Baker,Cornell University,Philosophy
Justin Baker,UC Berkeley,Chemistry
Stephanie Ross,University of Michigan,Philosophy
ZH Hicks,Harvard University,Computer Science
Anthony B. Rodriguez,Yale University,Mathematics
Rebecca A. Henderson,Princeton University,Philosophy
J. Ferrell,UC Berkeley,Chemistry
TV Valencia,Harvard University,Econ.
Nathan C. Maldonado,MIT,Mathematics
Debra A. Davidson,Princeton University,Chem.
Jeffrey C. Chavez,Stanford University,Psychology
Sherri Baker,Stanford University,Physics
Cassandra Gaines,Yale University,History
Elizabeth Fowler,Stanford Univ.,Computer Science
Brittany B. Farmer,Princeton University,Chemistry
Paula Moreno,Princeton University,Philosophy
Fred C. Smith,Cornell University,Physics
Sherry B. Decker,UC Berkeley,Phil.
Anthony H.,University of Michigan,Mathematical Sciences
Angelica C. Tucker,University of Chicago,Chemistry
Philip A. Cannon,Columbia Univ.,Philosophy
John B. Pierce,Stanford University,Sociology
SH Henderson,Yale University,Biology
Joshua B. Blair,Stanford Univ.,Physics
EC Carney,Columbia Univ.,Econ.
Jessica Holmes,UC Berkeley,Physics
DM Morgan,Cornell University,Philosophical Studies
C. R. Robinson,Princeton Univ.,Philosophical Studies
Mark Perez,Cornell University,Comp. Sci.
S. J. Jones,MIT,Social Sciences
Michael A. Lewis,Stanford Univ.,Economics
T. Duncan,University of Michigan,History
Richard A. Aguirre,MIT,Computer Science
Brent Jordan,UC Berkeley,Mathematical Sciences
John C. Daniel,Stanford Univ.,Economics
V. G. Garcia,MIT,Chem.
Gerald A. Hensley,Stanford Univ.,Biology
Connor C. West,Yale University,Computer Science
Donald C. Wright,UC Berkeley,Biol.
Jessica C. Callahan,Univ. of Chicago,Sociology
Amber Kidd,Princeton University,Mathematics
T. House,Harvard University,Mathematics
CT Tucker,Princeton University,Hist.
James A. Brown,Princeton University,Math
William Baker,MIT,Philosophy
Jordan A. Henderson,UC Berkeley,Physics
WP Peters,Stanford University,Physics
Brittney Phillips,Cornell Univ.,Historical Studies
Lauren B. Daniels,Harvard University,Philosophy
Amy C. Silva,Columbia University,Physical Sciences
S. M. Moore,MIT,Chemistry
A. L. Lopez,Harvard University,Philosophy
Megan B. Young,University of Chicago,Sociology
Steve Sanchez,Yale University,Psych.
L. B. Barnes,UC Berkeley,Biology
Kelly B. Donovan,Columbia University,Philosophy
Mike B. Allen,MIT,Biology
Michael C. Evans,Princeton University,Chemistry
PJ Jones,University of Michigan,Psychology
ZF Ferrell,MIT,Economics
DB Baker,Univ. of Michigan,History
Shirley A. Suarez,Princeton University,Philosophical Studies
C. Bass,Yale University,Historical Studies
Lisa A. Archer,UC Berkeley,Mathematics
Aimee B. Montoya,Stanford University,Biology
M. Mcmillan,MIT,Biology
B. R. Rodriguez,Cornell University,Math
Denise J.,Princeton University,Economics
Christina A. Walters,MIT,Computer Science
John A. Whitehead,Univ. of Chicago,Sociology
Anna C. Henderson,Yale University,Phil.
AW Wise,University of Chicago,Biology
Deborah Figueroa,Harvard University,Sociology
J. S. Smith,UC Berkeley,Biology
Stephen Mckee,Harvard University,Computer Science
